01/01/2026 - 01/31/2026
Franchisee - Sam Merrill
,
"Invoice Date","Description","Quantity","Rate","Amount"
"31 Supper Club: 01/02/2026 12:00am | Performed"
"FF","50 Pound Filter f1","1","Charge: $100.00","$100.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$100.00"
"31 Supper Club: 01/09/2026 12:00am | Performed"
"FF","50 Pound Dump f1","1","Charge: $100.00","$100.00"
"FB","Total Waste Oil Collected (lbs)","40.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$100.00"
"31 Supper Club: 01/13/2026 12:00am | Performed"
"FF","50 Pound Dump f1","1","Charge: $100.00","$100.00"
"FB","Total Waste Oil Collected (lbs)","40.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$100.00"
"31 Supper Club: 01/23/2026 12:00am | Performed"
"FF","50 Pound Dump f1","1","Charge: $100.00","$100.00"
"FB","Total Waste Oil Collected (lbs)","40.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$100.00"
"31 Supper Club: 01/27/2026 12:00am | Performed"
"FF","50 Pound Filter f1","1","Charge: $100.00","$100.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$100.00"
"31 Supper Club: 01/30/2026 12:00am | Performed"
"FF","50 Pound Dump f1","1","Charge: $100.00","$100.00"
"FB","Total Waste Oil Collected (lbs)","40.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$100.00"
"Aden Senior Living: 01/04/2026 03:00am | Performed"
"FF","50 Pound Dump f1","1","Charge: $80.00","$80.00"
"FB","Total Waste Oil Collected (lbs)","40.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$80.00"
"Aden Senior Living: 01/25/2026 12:00am | Performed"
"FF","50 Pound Dump f1","1","Charge: $80.00","$80.00"
"FB","Total Waste Oil Collected (lbs)","40.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$80.00"
"Advent Health Daytona Beach: 01/03/2026 03:00am | Performed"
"FF","50 Pound Dump f4, 50 Pound Dump f1, 50 Pound Dump f3, 50 Pound Dump f2","1","Charge: $90.00","$90.00"
"FB","Total Waste Oil Collected (lbs)","160.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$90.00"
"Advent Health Daytona Beach: 01/06/2026 03:00am | Performed"
"FF","50 Pound Dump f4, 50 Pound Dump f2, 50 Pound Dump f1, 50 Pound Dump f3","1","Charge: $90.00","$90.00"
"FB","Total Waste Oil Collected (lbs)","160.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$90.00"
"Advent Health Daytona Beach: 01/13/2026 12:00am | Performed"
"FF","50 Pound Dump f2, 50 Pound Dump f3, 50 Pound Dump f4, 50 Pound Dump f1","1","Charge: $90.00","$90.00"
"FB","Total Waste Oil Collected (lbs)","160.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$90.00"
"Advent Health Daytona Beach: 01/13/2026 02:30am | Performed"
"FF","50 Pound Dump f3, 50 Pound Dump f4, 50 Pound Dump f1, 50 Pound Dump f2","1","Charge: $90.00","$90.00"
"FB","Total Waste Oil Collected (lbs)","160.00 lb","$0.00 per gallon","$0.00"
